"message_count","a","b","message_name","sp_current","dim","predicted"
1,3224252.55351793,3.3723231834568e-07,"Brand",2870054.25507,"Brand",1999393.09849685
2,3223338.10021164,6.17694874904721e-07,"Card",3058284.2048,"Card",2735937.53573091
3,3770522.92834979,1.65950199857422e-06,"Diff Con",936076.16728,"Diff Con",2972969.59492613
4,1807814.54142908,1.26160517868834e-06,"ME",2250322.03458,"ME",1702087.99327109
5,1047811.81957025,1.07552228775287e-06,"Travel Rewards",3058284.2048,"Travel Rewards",1008747.61893802
