"spend","Display","Paid Search","Paid Social"
1016932.78534563,8122.79125364722,16103.5133484676,2495.86339210745
1020936.45772888,8141.28788781761,16132.3202742053,2497.68957377438
1024940.13011213,8159.71132065043,16160.9678108366,2499.49603928455
1028943.80249538,8178.06184184359,16189.4568402637,2501.28300150114
1032947.47487863,8196.33973994846,16217.788239509,2503.05067098918
1036951.14726188,8214.54530237448,16245.9628807425,2504.79925604035
1040954.81964513,8232.67881539366,16273.9816313083,2506.52896269755
1044958.49202838,8250.74056414505,16301.8453537516,2508.23999477914
1048962.16441163,8268.73083263927,16329.5549058451,2509.93255390301
1052965.83679488,8286.64990376295,16357.1111406154,2511.60683951027
1056969.50917813,8304.49805928317,16384.5149063693,2513.26304888881
1060973.18156138,8322.27557985192,16411.7670467198,2514.90137719652
1064976.85394463,8339.98274501048,16438.8684006125,2516.52201748429
1068980.52632788,8357.61983319384,16465.8198023507,2518.12516071876
1072984.19871113,8375.18712173507,16492.6220816219,2519.71099580481
1076987.87109438,8392.68488686968,16519.2760635224,2521.27970960785
1080991.54347764,8410.11340373996,16545.7825685838,2522.83148697581
1084995.21586089,8427.47294639932,16572.1424127974,2524.36651076092
1088998.88824414,8444.76378781659,16598.3564076395,2525.88496184129
1093002.56062739,8461.98619988029,16624.4253600967,2527.38701914218
1097006.23301064,8479.14045340296,16650.3500726905,2528.87285965712
1101009.90539389,8496.22681812537,16676.131343502,2530.34265846873
1105013.57777714,8513.24556272078,16701.7699661964,2531.7965887694
1109017.25016039,8530.19695479915,16727.2667300478,2533.23482188164
1113020.92254364,8547.08126091139,16752.6224199629,2534.65752727831
1117024.59492689,8563.89874655348,16777.8378165058,2536.06487260257
1121028.26731014,8580.64967617074,16802.9136959216,2537.45702368766
1125031.93969339,8597.33431316188,16827.8508301604,2538.8341445764
1129035.61207664,8613.95291988323,16852.6499869012,2540.19639754055
1133039.28445989,8630.50575765282,16877.3119295752,2541.5439430999
1137042.95684314,8646.99308675452,16901.8374173899,2542.87694004125
1141046.62922639,8663.41516644207,16926.2272053516,2544.19554543704
1145050.30160964,8679.77225494326,16950.4820442896,2545.49991466391
1149053.97399289,8696.06460946388,16974.6026808785,2546.79020142099
1153057.64637614,8712.29248619184,16998.5898576619,2548.06655774802
1157061.31875939,8728.45614030117,17022.4443130745,2549.32913404326
1161064.99114265,8744.55582595604,17046.1667814655,2550.57807908121
1165068.6635259,8760.59179631474,17069.7579931209,2551.81354003015
1169072.33590915,8776.56430353369,17093.2186742859,2553.03566246947
1173076.0082924,8792.47359877137,17116.5495471876,2554.24459040681
1177079.68067565,8808.3199321923,17139.7513300566,2555.44046629509
