dma_count,channel_count,message_count,chagroup_count,sales_count,a,b,npv,sp_current,npv_p,bdgt_id,dma_name,channel_name,message_name,chagroup_name,sales_name,clv,all_count,all_name,cpp
1,6,5,5,13,346071,0.0000488,768988.3571,194969.2975,769135.9157,1_6_5_5,National,Search,Travel Rewards,Online,Travel Rewards,288,1,1,1
1,1,1,1,3,351015.2855,6.04E-07,243694.6274,1622693.909,240436.1019,1_1_1_1,National,TV,Brand,TV,Card,220,1,1,1
1,1,2,1,3,321241.424,7.75E-07,213712.244,1635516.929,213070.1821,1_1_2_1,National,TV,Card,TV,Card,220,1,1,1
1,3,2,3,3,106997.128,1.35E-05,115551.7861,264979,115876.6647,1_3_2_3,National,Radio,Card,Radio,Card,220,1,1,1
1,4,2,4,3,115706.1241,1.96E-05,128155.3165,293880.9408,128240.7416,1_4_2_4,National,OOH,Card,OOH,Card,220,1,1,1
1,5,1,5,3,165026.6784,1.79E-06,64266.14148,240502.3779,63212.77052,1_5_1_5,National,Display,Brand,Online,Card,220,1,1,1
1,5,2,5,3,657279.8553,2.67E-06,608229.7118,668938.0375,609976.0012,1_5_2_5,National,Display,Card,Online,Card,220,1,1,1
1,5,3,5,3,63426.06167,1.58E-05,62730.27235,139340.0551,62969.08829,1_5_3_5,National,Display,Diff Con,Online,Card,220,1,1,1
1,6,1,5,3,24759.99341,1.44E-05,15767.87245,59007.91197,15666.83176,1_6_1_5,National,Search,Brand,Online,Card,220,1,1,1
1,6,2,5,3,692141.0137,4.88E-05,768988.3571,194969.2975,769135.9157,1_6_2_5,National,Search,Card,Online,Card,220,1,1,1
1,1,5,1,14,119403.4288,0.00000337,199870.6712,1635516.929,200825.3267,1_1_5_1,National,TV,Travel Rewards,TV,RSV Travel Rewards,0.00928,1,1,1
1,5,5,5,14,15801.77604,0.00000935,78856.68883,668938.0375,79160.53549,1_5_5_5,National,Display,Travel Rewards,Online,RSV Travel Rewards,0.00928,1,1,1
