"dma1_id","chan1_id","sales1_id","chan2_id","a","b","npv","sp","npv_p","bdgt_id","dma1_name","chan1_name","sales1_name","chan2_name","dim"
1,5,1,6,1839.10465237536,1.2464081603385e-05,1663.972242,188661.4583,1688.15873582561,"1_5_6","National","Consumer","Freedom Card - New Applications","Paid Search","National_Consumer_Freedom Card - New Applications_Paid Search"
1,5,1,7,10743.0063341708,6.85518838923318e-08,1094.518055,1567480.208,1077.27067736721,"1_5_7","National","Consumer","Freedom Card - New Applications","Direct Mail","National_Consumer_Freedom Card - New Applications_Direct Mail"
1,5,5,3,485.197886588288,3.61418256694347e-07,176.7829666,1253702.03,171.935081899323,"1_5_3","National","Consumer","Business Checking - New Checking Accounts","Television","National_Consumer_Business Checking - New Checking Accounts_Television"
1,5,5,6,269.849804059587,5.08822125282116e-06,166.5211958,188661.4583,164.447906737098,"1_5_6","National","Consumer","Business Checking - New Checking Accounts","Paid Search","National_Consumer_Business Checking - New Checking Accounts_Paid Search"
1,5,5,7,729.261234362739,9.34175523016424e-07,560.6272875,1567480.208,556.749958554673,"1_5_7","National","Consumer","Business Checking - New Checking Accounts","Direct Mail","National_Consumer_Business Checking - New Checking Accounts_Direct Mail"
1,6,5,1,336.860252945673,1.7028026163473e-05,265.248626,90933.07125,266.534872240128,"1_6_1","National","Business","Business Checking - New Checking Accounts","Online Display","National_Business_Business Checking - New Checking Accounts_Online Display"
1,6,5,2,410.244233786557,1.23390575656885e-05,188.8753485,49997.51375,186.554186428528,"1_6_2","National","Business","Business Checking - New Checking Accounts","Online Video","National_Business_Business Checking - New Checking Accounts_Online Video"
1,6,5,4,1176.03919140581,1.18796230764283e-06,177.5345941,137755.799,174.475046797923,"1_6_4","National","Business","Business Checking - New Checking Accounts","Radio","National_Business_Business Checking - New Checking Accounts_Radio"
1,6,5,5,220.961827469147,2.36801341910518e-05,55.20660125,12140.04104,53.9235349287578,"1_6_5","National","Business","Business Checking - New Checking Accounts","Newspaper","National_Business_Business Checking - New Checking Accounts_Newspaper"
1,7,4,5,207.036950004797,4.41795719941494e-06,28.98571061,34139.28708,28.9920629421649,"1_7_5","National","Partner","Sapphire Card - New Applications","Newspaper","National_Partner_Sapphire Card - New Applications_Newspaper"
1,7,4,6,435.009882290957,1.72838516164148e-05,307.6284415,71059.54854,307.558658012476,"1_7_6","National","Partner","Sapphire Card - New Applications","Paid Search","National_Partner_Sapphire Card - New Applications_Paid Search"
1,8,1,6,7988.65691824059,3.63291869013221e-05,7982.840683,198879.3408,7986.13878670553,"1_8_6","National","Multicard","Freedom Card - New Applications","Paid Search","National_Multicard_Freedom Card - New Applications_Paid Search"
1,8,2,6,278.224741062615,1.11944707545568e-05,248.1982435,198879.3408,245.694020734677,"1_8_6","National","Multicard","Ink Card - New Applications","Paid Search","National_Multicard_Ink Card - New Applications_Paid Search"
1,8,3,6,8442.3771062105,4.88585376952505e-06,5247.436367,198879.3408,5249.04308739564,"1_8_6","National","Multicard","Slate Card - New Applications","Paid Search","National_Multicard_Slate Card - New Applications_Paid Search"
1,8,4,6,3076.8004398048,1.07830208621812e-05,2716.432546,198879.3408,2722.80845279583,"1_8_6","National","Multicard","Sapphire Card - New Applications","Paid Search","National_Multicard_Sapphire Card - New Applications_Paid Search"
